編號,案類,發生(現)日期,發生時段,地點,icon
268,住宅竊盜,1040715,13~15,台北市信義區正和里光復南路417巷211-240號,ylw_stars
269,住宅竊盜,1040715,19~21,台北市中山區南京東路二段91-120號,ylw_stars
270,住宅竊盜,1040716,07~09,台北市大安區光信里光復南路456巷1-30號,ylw_stars
271,住宅竊盜,1040717,01~03,台北市中山區民生東路一段61-90號,ylw_stars
272,住宅竊盜,1040718,01~03,台北市北投區一德里中央北路四段151-180號,ylw_stars
273,住宅竊盜,1040718,13~15,台北市松山區光復北路181-210號,ylw_stars
274,住宅竊盜,1040718,16~18,台北市萬華區西園路一段121-150號,ylw_stars
275,住宅竊盜,1040718,19~21,台北市北投區林泉里溫泉路121-150號,ylw_stars
276,住宅竊盜,1040720,16~18,台北市北投區清江里中央南路二段91-120號,ylw_stars
277,住宅竊盜,1040720,19~21,台北市士林區百齡里11鄰前港街110巷1-30號,ylw_stars
278,住宅竊盜,1040720,22~24,台北市萬華區雅江街61-90號,ylw_stars
279,住宅竊盜,1040721,10~12,台北市松山區南京東路五段251巷24弄1-30號,ylw_stars
280,住宅竊盜,1040722,16~18,台北市萬華區中華路二段504巷1-30號,ylw_stars
281,住宅竊盜,1040723,07~09,台北市松山區南京東路五段23巷7弄1-30號,ylw_stars
282,住宅竊盜,1040725,10~12,台北市松山區南京東路五段66巷1-30號,ylw_stars
283,住宅竊盜,1040727,07~09,台北市松山區寶清街1-30號,ylw_stars
284,住宅竊盜,1040727,07~09,台北市松山區健康路8巷1-30號,ylw_stars
285,住宅竊盜,1040727,19~21,台北市士林區陽明里華岡路31-60號,ylw_stars
286,住宅竊盜,1040729,10~12,台北市松山區民權東路五段31-60號,ylw_stars
287,住宅竊盜,1040730,16~18,台北市萬華區大理街170巷1弄1-30號,ylw_stars
288,住宅竊盜,1040731,01~03,台北市松山區南京東路五段251巷24弄1-30號,ylw_stars
289,住宅竊盜,1040731,04~06,台北市松山區健康路325巷18弄1-30號,ylw_stars
290,住宅竊盜,1040731,07~09,台北市中正區廈安里大埔街21巷1-30號,ylw_stars
291,住宅竊盜,1040731,10~12,台北市松山區南京東路五段281巷1-30號,ylw_stars
292,住宅竊盜,1040731,13~15,台北市松山區南京東路五段251巷24弄1-30號,ylw_stars
293,住宅竊盜,1040803,22~24,台北市文山區木柵里木柵路三段85巷23弄1-30號,ylw_stars
294,住宅竊盜,1040804,04~06,台北市士林區新安里7鄰仰德大路三段106巷1-30號,ylw_stars
295,住宅竊盜,1040805,13~15,台北市松山區南京東路五段123巷1弄1-30號,ylw_stars
296,住宅竊盜,1040806,13~15,台北市內湖區內湖路二段103巷119弄1-30號,ylw_stars
297,住宅竊盜,1040806,16~18,台北市北投區開明里復興四路8巷1-30號,ylw_stars
298,住宅竊盜,1040807,01~03,台北市中山區松江路108巷1-30號,ylw_stars
299,住宅竊盜,1040810,13~15,台北市萬華區西園路二段372巷3弄31-60號,ylw_stars
300,住宅竊盜,1040810,16~18,台北市內湖區安泰街49巷1-30號,ylw_stars
301,住宅竊盜,1040810,19~21,台北市中山區龍江路377巷1-30號,ylw_stars
302,住宅竊盜,1040810,19~21,台北市中山區林森北路391-420號,ylw_stars
303,住宅竊盜,1040811,04~06,台北市士林區社新里社子街61-90號,ylw_stars
304,住宅竊盜,1040811,10~12,台北市士林區臨溪里9鄰至善路二段342巷1-30號,ylw_stars
305,住宅竊盜,1040812,19~21,台北市中山區林森北路107巷61-90號,ylw_stars
306,住宅竊盜,1040813,13~15,台北市信義區黎平里和平東路三段301-330號,ylw_stars
307,住宅竊盜,1040813,16~18,台北市北投區湖山里紗帽路1-30號,ylw_stars
308,住宅竊盜,1040814,10~12,台北市文山區木柵里7鄰木柵路三段85巷8弄1-30號,ylw_stars
309,住宅竊盜,1040815,13~15,台北市大安區誠安里忠孝東路三段301-330號,ylw_stars
310,住宅竊盜,1040817,01~03,台北市信義區四維里松山路241-270號,ylw_stars
311,住宅竊盜,1040817,01~03,台北市北投區八仙里崇仁路一段159巷1-30號,ylw_stars
312,住宅竊盜,1040817,19~21,台北市士林區天玉里中山北路七段51巷1-30號,ylw_stars
313,住宅竊盜,1040818,19~21,台北市南港區九如里研究院路三段211-240號,ylw_stars
314,住宅竊盜,1040820,01~03,台北市信義區景新里莊敬路289巷5弄18號,ylw_stars
315,住宅竊盜,1040821,22~24,台北市南港區九如里研究院路三段211-240號,ylw_stars
316,住宅竊盜,1040822,07~09,台北市中山區樂群二路266巷91-120號,ylw_stars
317,住宅竊盜,1040822,22~24,台北市文山區博嘉里4鄰木柵路四段159巷170弄1-30號,ylw_stars
318,住宅竊盜,1040823,01~03,台北市中正區廈安里中華路二段109巷1-30號,ylw_stars
319,住宅竊盜,1040823,19~21,台北市北投區桃源里崗山路11巷1-30號,ylw_stars
320,住宅竊盜,1040823,19~21,台北市萬華區西園路二段372巷3弄31-60號,ylw_stars
321,住宅竊盜,1040824,10~12,台北市信義區六合里信義路五段150巷418弄1-30號,ylw_stars
322,住宅竊盜,1040824,19~21,台北市士林區仁勇里小東街31-60號,ylw_stars
323,住宅竊盜,1040825,10~12,台北市中正區新營里金華街1-30號,ylw_stars
324,住宅竊盜,1040825,16~18,台北市大安區通化里10鄰通化街19巷1-30號,ylw_stars
325,住宅竊盜,1040826,19~21,台北市內湖區內湖路一段91巷35弄1-30號,ylw_stars
326,住宅竊盜,1040827,13~15,台北市士林區福志里福林路271-300號,ylw_stars
327,住宅竊盜,1040827,16~18,台北市大同區永樂里10鄰民樂街1-30號,ylw_stars
328,住宅竊盜,1040828,07~09,台北市大安區華聲里光復南路72巷23弄1-30號,ylw_stars
329,住宅竊盜,1040828,13~15,台北市士林區天壽里4鄰中山北路六段441巷31-60號,ylw_stars
330,住宅竊盜,1040828,22~24,台北市中山區中山北路二段115巷1-30號,ylw_stars
331,住宅竊盜,1040829,01~03,台北市文山區樟樹里13鄰興隆路四段74巷1-30號,ylw_stars
332,住宅竊盜,1040829,07~09,台北市中正區廈安里中華路二段175巷31-60號,ylw_stars
333,住宅竊盜,1040829,13~15,台北市北投區八仙里中央南路二段1-30號,ylw_stars
334,住宅竊盜,1040830,07~09,台北市文山區明義里9鄰興隆路四段44巷1-30號,ylw_stars
335,住宅竊盜,1040831,04~06,台北市士林區葫蘆里延平北路五段231巷31-60號,ylw_stars
336,住宅竊盜,1040831,10~12,台北市信義區四育里虎林街30巷1-30號,ylw_stars
337,住宅竊盜,1040831,10~12,台北市中正區幸市里仁愛路二段61-90號,ylw_stars
338,住宅竊盜,1040831,13~15,台北市萬華區西昌街181-210號,ylw_stars
339,住宅竊盜,1040831,16~18,台北市北投區石牌里致遠一路一段46巷1-30號,ylw_stars
340,住宅竊盜,1040901,22~24,台北市大安區通化里通化街39巷1-30號,ylw_stars
341,住宅竊盜,1040903,13~15,台北市北投區雙全街62巷1-30號,ylw_stars
342,住宅竊盜,1040905,19~21,台北市中山區民族東路391-420號,ylw_stars
343,住宅竊盜,1040905,19~21,台北市萬華區廣州街186巷1-30號,ylw_stars
344,住宅竊盜,1040906,01~03,台北市士林區忠誠里忠誠路一段91-120號,ylw_stars
345,住宅竊盜,1040906,13~15,台北市內湖區民權東路六段413巷1-30號,ylw_stars
346,住宅竊盜,1040907,13~15,台北市松山區敦化南路一段1-30號,ylw_stars
347,住宅竊盜,1040908,10~12,台北市中正區文盛里汀州路三段151-180號,ylw_stars
348,住宅竊盜,1040908,10~12,台北市大安區虎嘯里4鄰敦化南路二段181-210號,ylw_stars
349,住宅竊盜,1040908,22~24,台北市中山區林森北路133巷31-60號,ylw_stars
350,住宅竊盜,1040910,10~12,台北市士林區福順里重慶北路四段31-60號,ylw_stars
351,住宅竊盜,1040911,07~09,台北市萬華區環河南路三段151-180號,ylw_stars
352,住宅竊盜,1040911,10~12,台北市松山區八德路二段391-420號,ylw_stars
353,住宅竊盜,1040912,07~09,台北市文山區順興里18鄰恆光街17巷1-30號,ylw_stars
354,住宅竊盜,1040913,04~06,台北市信義區永春里永吉路481-510號,ylw_stars
355,住宅竊盜,1040913,10~12,台北市大同區老師里延平北路四段153巷1-30號,ylw_stars
356,住宅竊盜,1040913,19~21,台北市北投區大同里中央北路一段151-180號,ylw_stars
357,住宅竊盜,1040914,04~06,台北市中正區文盛里羅斯福路三段244巷10弄1-30號,ylw_stars
358,住宅竊盜,1040914,10~12,台北市中山區合江街31-60號,ylw_stars
359,住宅竊盜,1040915,10~12,台北市北投區林泉里泉源路21巷1-30號,ylw_stars
360,住宅竊盜,1040915,16~18,台北市萬華區東園街66巷37弄1-30號,ylw_stars
361,住宅竊盜,1040917,01~03,台北市信義區六合里信義路五段150巷臨31-60號,ylw_stars
362,住宅竊盜,1040917,19~21,台北市大安區全安里8鄰安和路二段227巷1-30號,ylw_stars
363,住宅竊盜,1040918,04~06,台北市萬華區大埔街7巷1-30號,ylw_stars
364,住宅竊盜,1040919,16~18,台北市大同區鄭州路121-150號,ylw_stars
365,住宅竊盜,1040920,01~03,台北市北投區吉利里致遠二路95巷31-60號,ylw_stars
366,住宅竊盜,1040920,10~12,台北市南港區九如里研究院路二段182巷61-90號,ylw_stars
367,住宅竊盜,1040921,01~03,台北市中正區南福里羅斯福路二段61-90號,ylw_stars
368,住宅竊盜,1040924,10~12,台北市北投區湖山里湖山路二段1-30號,ylw_stars
369,住宅竊盜,1040924,19~21,台北市中正區永昌里中華路二段391-420號3樓,ylw_stars
370,住宅竊盜,1040925,22~24,台北市中正區螢雪里泉州街121-150號,ylw_stars
371,住宅竊盜,1040926,10~12,台北市大安區光武里22鄰復興南路一段107巷5弄1-30號,ylw_stars
372,住宅竊盜,1040926,10~12,台北市北投區立賢里承德路七段211-240號,ylw_stars
373,住宅竊盜,1040927,19~21,台北市中山區錦州街91-120號,ylw_stars
374,住宅竊盜,1040928,10~12,台北市萬華區長泰街59巷1-30號,ylw_stars
375,住宅竊盜,1040929,04~06,台北市松山區三民路151-180號,ylw_stars
376,住宅竊盜,1040930,10~12,台北市內湖區瑞光路258巷31-60號,ylw_stars
377,住宅竊盜,1040930,10~12,台北市南港區鴻福里玉成街235巷1-30號,ylw_stars
378,住宅竊盜,1041001,22~24,台北市士林區三玉里7鄰德行東路219巷1-30號,ylw_stars
379,住宅竊盜,1041002,19~21,台北市萬華區西園路二段261巷34弄31-60號,ylw_stars
380,住宅竊盜,1041003,07~09,台北市萬華區西寧南路121-150號,ylw_stars
381,住宅竊盜,1041003,07~09,台北市內湖區內湖路二段91-120號,ylw_stars
382,住宅竊盜,1041003,22~24,台北市中山區中山北路二段121-150號,ylw_stars
383,住宅竊盜,1041005,07~09,台北市松山區八德路四段245巷32弄31-60號,ylw_stars
384,住宅竊盜,1041006,10~12,台北市萬華區西園路二段320巷36弄1-30號,ylw_stars
385,住宅竊盜,1041007,01~03,台北市中山區龍江路370巷31-60號,ylw_stars
386,住宅竊盜,1041007,13~15,台北市文山區景行里景興路241-270號,ylw_stars
