編號,案類,發生(現)日期,發生時段,地點,icon
281,自行車竊盜,1041011,07~09,台北市大同區蓬萊里重慶北路三段30-60號,wht_stars
282,自行車竊盜,1041011,16~18,台北市士林區葫東里延平北路五段181-210號,wht_stars
283,自行車竊盜,1041012,16~18,台北市大安區敦安里仁愛路與安和路口,wht_stars
284,自行車竊盜,1041013,13~15,台北市北投區一德里大度路三段296巷關渡捷運站區,wht_stars
285,自行車竊盜,1041014,10~12,台北市內湖區安泰街53巷1-30號,wht_stars
286,自行車竊盜,1041015,07~09,台北市中正區富水里思源街1-30號,wht_stars
287,自行車竊盜,1041019,13~15,台北市中正區幸市里忠孝東路二段91-120號,wht_stars
288,自行車竊盜,1041026,10~12,台北市中正區板溪里和平西路一段31-60號,wht_stars
289,自行車竊盜,1041026,19~21,台北市文山區景華里景華街22巷1-30號,wht_stars
290,自行車竊盜,1041027,10~12,台北市士林區聖山里忠誠路一段171巷10弄1-30號,wht_stars
